
2022/05/22 (14:55:42) | ===> btop++ v.1.2.6
2022/05/22 (14:55:42) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (16:06:17) | ===> btop++ v.1.2.6
2022/05/22 (16:06:17) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:10:33) | ===> btop++ v.1.2.6
2022/05/22 (19:10:33) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:14:51) | ===> btop++ v.1.2.6
2022/05/22 (19:14:51) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:15:49) | ===> btop++ v.1.2.6
2022/05/22 (19:15:49) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:19:24) | ===> btop++ v.1.2.6
2022/05/22 (19:19:24) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:21:07) | ===> btop++ v.1.2.6
2022/05/22 (19:21:07) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:26:31) | ===> btop++ v.1.2.6
2022/05/22 (19:26:31) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:27:44) | ===> btop++ v.1.2.6
2022/05/22 (19:27:44) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:30:41) | ===> btop++ v.1.2.6
2022/05/22 (19:30:41) | WARNING: Failed to join _runner thread on exit!

2022/05/22 (19:46:09) | ===> btop++ v.1.2.6
2022/05/22 (19:46:09) | WARNING: Failed to join _runner thread on exit!
